76	179
74	179
78	174
143	112
146	111
148	105
91	164
99	156
154	102
154	101
159	96
106	148
109	145
112	144
175	79
176	78
121	135
126	129
129	126
130	69
186	69
190	123
136	120
137	117
142	114
200	53
200	53
149	106
146	110
147	108
151	45
210	43
154	102
148	106
152	102
156	101
206	49
219	86
162	92
162	92
166	88
219	38
169	84
168	87
168	88
173	82
217	39
179	77
172	84
177	79
179	76
220	36
176	79
180	75
182	72
188	68
221	34
185	72
180	75
185	68
181	74
223	32
192	64
195	59
194	62
189	65
220	36
189	66
195	60
191	63
194	61
228	32
195	61
197	59
193	62
194	82
234	22
193	62
199	56
201	54
196	80
232	23
197	59
203	53
200	55
200	18
200	54
200	55
204	52
203	52
203	16
204	51
202	52
202	54
196	59
239	19
199	56
199	56
205	49
205	50
242	13
204	51
204	52
204	51
204	51
239	15
202	53
199	57
198	57
203	0
206	49
204	50
202	52
207	49
204	16
206	49
204	49
205	51
203	53
238	17
199	56
203	51
203	54
200	55
234	22
200	55
201	55
200	54
202	52
230	23
196	58
201	54
196	59
201	54
238	16
202	54
201	54
198	57
198	56
237	15
203	53
207	49
208	47
205	49
242	11
205	49
205	49
209	47
204	48
243	48
209	46
205	49
207	47
207	12
208	48
206	49
206	48
208	47
244	12
209	46
207	48
207	47
209	47
242	10
208	48
206	49
206	48
206	49
242	12
207	48
206	48
206	49
209	45
244	10
208	47
208	47
207	49
209	45
242	50
211	44
204	51
207	49
210	8
209	47
206	49
208	48
205	50
244	12
208	46
208	46
210	45
210	45
241	16
207	49
207	47
207	49
207	48
244	11
210	46
205	49
203	52
208	47
240	51
209	46
208	47
210	44
205	12