256	82
288	226
304	205
260	229
295	226
304	225
317	222
299	205
319	186
311	226
290	212
299	173
292	205
315	205
311	217
328	206
283	213
314	201
333	138
309	193
313	209
301	204
299	194
335	160
314	185
333	175
313	191
295	206
316	183
304	206
328	175
341	176
320	204
335	173
331	179
343	187
341	163
317	199
325	199
335	174
320	189
328	193
337	169
322	189
334	174
358	162
349	172
343	171
330	187
317	181
361	148
358	160
338	165
340	170
329	188
324	165
353	165
336	171
344	165
346	182
326	186
351	167
364	150
349	165
339	160
314	180
346	181
371	148
345	164
351	160
348	159
336	176
352	142
364	147
358	154
350	161
328	186
331	175
349	174
356	157
353	156
362	160
324	188
342	155
372	0
356	174
356	158
349	162
336	188
349	163
345	169
372	142
340	165
353	167
336	169
368	144
350	160
367	147
342	168
354	0
340	170
374	149
358	156
334	178
370	0
342	169
359	148
356	157
347	165
341	0
342	168
363	144
366	153
343	171
364	0
355	156
281	0
375	155
365	139
361	0
380	148
354	0
382	148
364	0
363	148
355	0
384	144
385	124
378	0
387	142
394	118
365	146
384	0
374	0
374	137
387	135
400	0
377	0
376	0
377	0
377	0
379	0
378	0
378	0
378	0
377	0
377	0
378	0
377	0
377	0
379	0
378	0
378	0
377	0
378	0
378	0
376	0
374	137
418	0
395	136
387	0
375	0
391	140
368	0
376	152
363	148
358	158
388	121
370	150
354	152
345	168
343	173
349	161
355	162
337	170
332	162
326	191
325	204
351	147
337	183
306	207
338	177
323	205
317	198
305	215
330	183
312	180
298	209
305	186
311	172
316	204
328	180
306	213
281	205
295	219
316	205
310	203
311	199
301	207
278	222
341	185
307	202
306	203
295	221
294	237
290	205
289	208
302	195
311	175
311	225
252	3
282	230
307	191
306	189
304	171
290	224
328	200
317	188
298	208
305	207
320	193
279	233
302	217
297	206
293	207
285	206
318	231
285	238
320	214
315	204
